src_ip,dst_ip,protocol,src_port,dst_port,timestamp,length,ttl,flags
203.78.135.92,110.71.87.27,TCP,443,14908,1641013200.099791,1440,62,16
203.78.135.92,110.71.87.27,TCP,443,14908,1641013200.099798,1440,62,16
131.140.177.29,172.49.130.132,TCP,5900,55987,1641013200.099799,40,55,16
203.78.135.92,110.71.87.27,TCP,443,14897,1641013200.099802,1440,62,16
203.78.135.92,110.71.87.27,TCP,443,14897,1641013200.099807,1440,62,16
203.78.137.209,120.18.107.99,TCP,873,9386,1641013200.099843,52,61,16
131.140.177.29,172.49.130.132,TCP,5900,55987,1641013200.09991,40,55,17
133.243.98.117,162.141.163.128,TCP,63362,443,1641013200.099922,172,120,24
203.78.135.92,110.71.87.27,TCP,443,14908,1641013200.099977,2840,62,16
192.0.222.29,203.78.178.36,TCP,40673,443,1641013200.099982,40,248,2
203.78.135.92,110.71.87.27,TCP,443,14908,1641013200.100017,1440,62,16
161.29.109.160,202.250.231.75,TCP,53127,11233,1641013200.10002,40,244,2
157.206.249.55,18.222.254.242,TCP,49480,443,1641013200.100032,52,57,16
203.78.135.92,110.71.87.27,TCP,443,14908,1641013200.100041,1440,62,16
133.243.98.117,162.141.163.128,TCP,63362,443,1641013200.100053,1480,120,16
133.243.98.117,162.141.163.128,TCP,63362,443,1641013200.100089,1303,120,24
178.239.153.48,163.45.205.213,TCP,52912,5038,1641013200.100165,40,248,2
203.78.135.92,110.71.87.27,TCP,443,14897,1641013200.100202,1440,62,16
203.78.135.92,110.71.87.27,TCP,443,14897,1641013200.100208,1440,62,16
157.206.196.212,52.59.33.227,TCP,41463,443,1641013200.100243,40,57,16
89.247.66.138,133.251.68.184,TCP,8080,34189,1641013200.100454,40,246,2
45.213.168.75,163.45.243.81,TCP,52505,106,1641013200.100541,40,240,2
92.72.197.100,203.78.191.203,TCP,45239,442,1641013200.1006,40,247,2
204.51.46.66,203.78.137.8,OTHER,,,1641013200.100606,208,250,
143.38.62.64,133.105.217.223,TCP,47048,8081,1641013200.100618,40,247,2
89.247.69.191,163.45.160.228,TCP,53456,11250,1641013200.100645,40,246,2
89.247.69.145,133.105.98.220,TCP,53450,31294,1641013200.100679,40,246,2
157.206.171.19,162.141.164.7,TCP,65118,443,1641013200.100683,86,120,24
193.96.13.187,133.251.98.142,TCP,35397,9074,1641013200.100689,44,244,2
89.247.69.144,203.78.230.188,TCP,8080,20390,1641013200.100695,40,246,2
133.251.114.78,179.40.74.191,TCP,23,47183,1641013200.100802,52,61,16
157.206.249.55,18.222.254.242,TCP,49480,443,1641013200.100828,52,57,16
94.232.18.20,133.251.114.55,TCP,45043,3161,1641013200.100842,40,53,4
185.138.73.88,133.251.128.180,TCP,41455,10315,1641013200.100913,40,247,2
89.247.66.138,133.251.175.243,TCP,8080,37052,1641013200.100925,40,246,2
170.17.229.38,133.105.215.168,TCP,28732,9153,1641013200.100943,52,53,2
43.161.71.230,163.45.148.30,TCP,49761,9023,1641013200.100961,52,50,2
143.145.111.50,133.251.106.66,TCP,29316,23,1641013200.100975,40,55,2
157.206.196.247,8.7.188.3,TCP,55715,443,1641013200.101129,52,57,16
185.75.233.47,163.45.163.67,TCP,5466,23,1641013200.101236,40,241,2
157.206.229.0,192.120.200.155,TCP,58678,443,1641013200.101363,52,54,16
35.86.249.180,163.45.94.120,TCP,443,51406,1641013200.101461,52,49,16
157.206.171.19,162.141.164.7,TCP,65118,443,1641013200.101487,71,120,25
131.140.52.139,172.49.131.80,TCP,5900,55833,1641013200.101589,40,55,16
204.51.46.66,203.78.137.8,OTHER,,,1641013200.101716,183,250,
157.206.21.221,162.141.163.128,TCP,54996,443,1641013200.101758,127,56,24
89.247.69.146,203.78.252.143,TCP,8080,58339,1641013200.101772,40,246,2
131.140.52.139,172.49.131.80,TCP,5900,55833,1641013200.101844,52,55,24
202.101.170.35,200.133.1.150,TCP,80,29330,1641013200.101923,52,246,18
89.247.69.180,163.45.40.65,TCP,53467,13343,1641013200.101952,40,246,2
202.101.170.35,200.133.1.150,TCP,80,29330,1641013200.102042,52,246,20
185.138.73.88,133.105.61.194,TCP,41455,22237,1641013200.10214,40,247,2
157.206.196.212,52.59.33.227,TCP,41463,443,1641013200.102146,40,57,16
157.206.196.212,52.59.33.227,TCP,41463,443,1641013200.10215,40,57,16
170.42.127.195,163.45.18.35,TCP,33434,59847,1641013200.102174,52,47,18
110.71.87.27,203.78.135.92,TCP,14417,443,1641013200.102201,40,118,16
13.192.246.29,163.45.17.117,TCP,443,60248,1641013200.102245,521,51,24
222.154.22.12,203.78.143.78,ICMP,,,1641013200.102295,72,57,
89.247.69.180,163.45.83.227,TCP,53467,15586,1641013200.102335,40,246,2
